iter	Passed	Remaining
827	9543	1982
828	9554	1970
829	9564	1959
830	9576	1947
831	9588	1936
832	9600	1924
833	9611	1913
834	9623	1901
835	9633	1889
836	9644	1878
837	9656	1866
838	9667	1855
839	9677	1843
840	9688	1831
841	9699	1820
842	9709	1808
843	9721	1796
844	9731	1785
845	9742	1773
846	9753	1761
847	9763	1750
848	9774	1738
849	9785	1726
850	9795	1715
851	9806	1703
852	9818	1692
853	9829	1680
854	9840	1668
855	9852	1657
856	9866	1646
857	9877	1634
858	9888	1623
859	9900	1611
860	9911	1600
861	9923	1588
862	9934	1577
863	9946	1565
864	9956	1553
865	9967	1542
866	9979	1530
867	9991	1519
868	10002	1507
869	10013	1496
870	10024	1484
871	10035	1473
872	10046	1461
873	10057	1450
874	10069	1438
875	10080	1426
876	10092	1415
877	10103	1403
878	10115	1392
879	10126	1380
880	10137	1369
881	10148	1357
882	10159	1346
883	10169	1334
884	10180	1322
885	10192	1311
886	10202	1299
887	10214	1288
888	10224	1276
889	10235	1265
890	10246	1253
891	10256	1241
892	10267	1230
893	10279	1218
894	10290	1207
895	10300	1195
896	10312	1184
897	10324	1172
898	10335	1161
899	10346	1149
900	10357	1138
901	10368	1126
902	10378	1114
903	10389	1103
904	10400	1091
905	10411	1080
906	10421	1068
907	10433	1057
908	10444	1045
909	10454	1033
910	10465	1022
911	10476	1010
912	10487	999
913	10499	987
914	10509	976
915	10521	964
916	10532	953
917	10544	941
918	10556	930
919	10567	918
920	10578	907
921	10588	895
922	10599	884
923	10610	872
924	10621	861
925	10632	849
926	10642	838
927	10653	826
928	10664	815
929	10675	803
930	10686	791
931	10697	780
932	10708	768
933	10719	757
934	10729	745
935	10740	734
936	10751	722
937	10762	711
938	10772	699
939	10783	688
940	10794	676
941	10804	665
942	10815	653
943	10827	642
944	10838	630
945	10850	619
946	10861	607
947	10872	596
948	10883	584
949	10893	573
950	10905	561
951	10917	550
952	10928	538
953	10939	527
954	10951	516
955	10963	504
956	10975	493
957	10987	481
958	10999	470
959	11010	458
960	11023	447
961	11036	435
962	11049	424
963	11061	413
964	11074	401
965	11086	390
966	11097	378
967	11110	367
968	11122	355
969	11134	344
970	11144	332
971	11155	321
972	11167	309
973	11177	298
974	11188	286
975	11198	275
976	11208	263
977	11219	252
978	11230	240
979	11241	229
980	11252	217
981	11263	206
982	11273	194
983	11284	183
984	11296	172
985	11307	160
986	11319	149
987	11330	137
988	11341	126
989	11352	114
990	11363	103
991	11374	91
992	11387	80
993	11399	68
994	11411	57
995	11423	45
996	11436	34
997	11449	22
998	11461	11
999	11473	0
